categoria,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
rurais,401.4218,833.1955,354.1258,48.9293,2320.231,5546.93,1679.995,462.6303,1227.64,106.7166,375.0586,1902.62,58232.28,80690.26,94964.48,3309.971
urbanos,11.3733,56.0311,67.8715,59.5477,35.0215,138.0169,28.3475,96.7928,251.999,36.322,53.4504,250.0816,122.1542,223.4456,176.4206,7
total,412.7951,889.2266,421.9973,108.477,2355.253,5684.947,1708.342,559.4231,1479.639,143.0386,428.509,2152.702,58354.43,80913.71,95140.9,3316.971
